code,code,decimal_point,name,pre_close,sec,sse,volunit
399339,399339,2,深证科技,4618.9956054688,index_cn,sz,100
399341,399341,2,深证责任,1348.0350341797,index_cn,sz,100
399344,399344,2,深证300R,4242.0834960938,index_cn,sz,100
399346,399346,2,深证成长,3085.8210449219,index_cn,sz,100
399348,399348,2,深证价值,4906.2299804688,index_cn,sz,100
399350,399350,2,皖江30,1420.9123535156,index_cn,sz,100
399351,399351,2,深报指数,6072.2333984375,index_cn,sz,100
399352,399352,2,深报综指,6085.5419921875,index_cn,sz,100
399353,399353,2,国证物流,2377.091796875,index_cn,sz,100
399354,399354,2,分析师指,5582.61328125,index_cn,sz,100
399355,399355,2,长三角,3203.2036132812,index_cn,sz,100
399356,399356,2,珠三角,7622.6591796875,index_cn,sz,100
399357,399357,2,环渤海,2719.0446777344,index_cn,sz,100
399358,399358,2,泰达指数,2854.8381347656,index_cn,sz,100
399359,399359,2,国证基建,2456.6831054688,index_cn,sz,100
399360,399360,2,新硬件,3340.8173828125,index_cn,sz,100
399361,399361,2,国证商业,5377.1215820312,index_cn,sz,100
399362,399362,2,国证民营,4965.525390625,index_cn,sz,100
399363,399363,2,计算机指,3693.4562988281,index_cn,sz,100
399364,399364,2,中金消费,6568.109375,index_cn,sz,100
399365,399365,2,国证农业,7817.9482421875,index_cn,sz,100
399366,399366,2,国证大宗,1880.5155029297,index_cn,sz,100
399367,399367,2,巨潮地产,5097.12109375,index_cn,sz,100
399368,399368,2,国证军工,5217.3203125,index_cn,sz,100
399369,399369,2,CBN-兴全,1334.1385498047,index_cn,sz,100
399370,399370,2,国证成长,3270.8610839844,index_cn,sz,100
399371,399371,2,国证价值,5512.2006835938,index_cn,sz,100
399372,399372,2,大盘成长,3171.9248046875,index_cn,sz,100
399373,399373,2,大盘价值,6629.7954101562,index_cn,sz,100
399374,399374,2,中盘成长,3557.3701171875,index_cn,sz,100
399375,399375,2,中盘价值,4782.4150390625,index_cn,sz,100
399376,399376,2,小盘成长,4239.4873046875,index_cn,sz,100
399377,399377,2,小盘价值,5227.6962890625,index_cn,sz,100
399378,399378,2,南方低碳,2052.3430175781,index_cn,sz,100
399379,399379,2,国证基金,5889.9736328125,index_cn,sz,100
399380,399380,2,国证ETF,1183.8157958984,index_cn,sz,100
399381,399381,2,1000能源,2237.5869140625,index_cn,sz,100
399382,399382,2,1000材料,2153.8146972656,index_cn,sz,100
399383,399383,2,1000工业,1997.861328125,index_cn,sz,100
399384,399384,2,1000可选,3034.591796875,index_cn,sz,100
399385,399385,2,1000消费,7067.8784179688,index_cn,sz,100
399386,399386,2,1000医药,6289.1889648438,index_cn,sz,100
399387,399387,2,1000金融,4177.3837890625,index_cn,sz,100
399388,399388,2,1000信息,3076.2126464844,index_cn,sz,100
399389,399389,2,国证通信,3290.8627929688,index_cn,sz,100
399390,399390,2,1000公用,2062.380859375,index_cn,sz,100
399391,399391,2,投资时钟,2220.3132324219,index_cn,sz,100
399392,399392,2,国证新兴,1982.0480957031,index_cn,sz,100
399393,399393,2,国证地产,5441.03515625,index_cn,sz,100
399394,399394,2,国证医药,9464.7021484375,index_cn,sz,100
399395,399395,2,国证有色,3381.6271972656,index_cn,sz,100
399396,399396,2,国证食品,12585.5322265625,index_cn,sz,100
399397,399397,2,OCT文化,1846.5988769531,index_cn,sz,100
399398,399398,2,绩效指数,7211.3325195312,index_cn,sz,100
399399,399399,2,中经GDP,5972.1059570312,index_cn,sz,100
399400,399400,2,大中盘,2889.275390625,index_cn,sz,100
399401,399401,2,中小盘,3199.0590820312,index_cn,sz,100
399402,399402,2,周期100,2572.3239746094,index_cn,sz,100
399403,399403,2,防御100,5999.0405273438,index_cn,sz,100
399404,399404,2,大盘低波,5228.236328125,index_cn,sz,100
399405,399405,2,大盘高贝,1693.4465332031,index_cn,sz,100
399406,399406,2,中盘低波,9415.119140625,index_cn,sz,100
399407,399407,2,中盘高贝,2039.9986572266,index_cn,sz,100
399408,399408,2,小盘低波,9746.5029296875,index_cn,sz,100
399409,399409,2,小盘高贝,3362.1828613281,index_cn,sz,100
399410,399410,2,苏州率先,1754.7681884766,index_cn,sz,100
399411,399411,2,红利100,2712.0124511719,index_cn,sz,100
399412,399412,2,国证新能,1522.2109375,index_cn,sz,100
399413,399413,2,国证转债,105.7292022705,index_cn,sz,100
399415,399415,2,I100,4781.4921875,index_cn,sz,100
399416,399416,2,I300,3089.1525878906,index_cn,sz,100
399417,399417,2,新能源车,1726.9835205078,index_cn,sz,100
399418,399418,2,国证国安,2459.5,index_cn,sz,100
399419,399419,2,国证高铁,1579.724609375,index_cn,sz,100
399420,399420,2,国证保证,1040.7751464844,index_cn,sz,100
399422,399422,2,中关村A,2503.1848144531,index_cn,sz,100
399423,399423,2,中关村50,2295.5883789062,index_cn,sz,100
399427,399427,2,专利领先,2230.59375,index_cn,sz,100
399428,399428,2,国证定增,2135.0925292969,index_cn,sz,100
399429,399429,2,新丝路,1059.1478271484,index_cn,sz,100
399431,399431,2,国证银行,5768.6743164062,index_cn,sz,100
399432,399432,2,国证汽车,2940.5305175781,index_cn,sz,100
399433,399433,2,国证交运,1675.1850585938,index_cn,sz,100
399434,399434,2,国证传媒,2109.341796875,index_cn,sz,100
399435,399435,2,国证农牧,2571.1376953125,index_cn,sz,100
399436,399436,2,国证煤炭,2557.9755859375,index_cn,sz,100
399437,399437,2,国证证券,4120.267578125,index_cn,sz,100
399438,399438,2,国证电力,1757.3011474609,index_cn,sz,100
399439,399439,2,国证油气,1761.9267578125,index_cn,sz,100
399440,399440,2,国证钢铁,1490.8448486328,index_cn,sz,100
399441,399441,2,生物医药,2541.4916992188,index_cn,sz,100
399481,399481,2,企债指数,127.2595977783,index_cn,sz,100
399550,399550,2,央视50,6127.0561523438,index_cn,sz,100
399551,399551,2,央视创新,5948.6655273438,index_cn,sz,100
399552,399552,2,央视成长,6591.8315429688,index_cn,sz,100
399553,399553,2,央视回报,5093.0639648438,index_cn,sz,100
399554,399554,2,央视治理,6054.4223632812,index_cn,sz,100
399555,399555,2,央视责任,3966.6569824219,index_cn,sz,100
399556,399556,2,央视生态,1471.9918212891,index_cn,sz,100
399557,399557,2,央视文化,1475.0576171875,index_cn,sz,100
399602,399602,2,中小成长,999.3416137695,index_cn,sz,100
399604,399604,2,中小价值,1188.1507568359,index_cn,sz,100
399606,399606,2,创业板R,1527.2203369141,index_cn,sz,100
399608,399608,2,科技100,2082.1389160156,index_cn,sz,100
399610,399610,2,TMT50,4322.4067382812,index_cn,sz,100
399611,399611,2,中创100R,1717.3968505859,index_cn,sz,100
399612,399612,2,中创100,1575.0102539062,index_cn,sz,100
399613,399613,2,深证能源,2689.5244140625,index_cn,sz,100
399614,399614,2,深证材料,2374.7175292969,index_cn,sz,100
